timestamp,frame_id,label,confidence,x,y,width,height,detection_type,fps
2026-03-31 01:04:07.889372,159,person,0.808,360,242,581,470,pose,9.9
2026-03-31 01:04:07.990330,160,person,0.817,339,243,605,469,pose,10.0
2026-03-31 01:04:08.090067,161,person,0.774,447,239,497,471,pose,10.0
2026-03-31 01:04:08.189038,162,person,0.791,456,239,490,471,pose,10.0
2026-03-31 01:04:08.290219,163,person,0.794,339,240,609,472,pose,9.9
2026-03-31 01:04:08.390251,164,person,0.812,344,237,602,475,pose,10.0
2026-03-31 01:04:08.494144,165,person,0.87,340,238,605,473,pose,10.0
2026-03-31 01:04:08.590124,166,person,0.876,339,239,607,473,pose,10.0
2026-03-31 01:04:08.686167,167,person,0.826,457,236,487,474,pose,10.0
2026-03-31 01:04:08.792547,168,person,0.827,457,236,487,474,pose,10.0
2026-03-31 01:04:08.885994,169,person,0.844,338,241,609,470,pose,10.1
2026-03-31 01:04:08.986090,170,person,0.833,338,243,608,468,pose,10.0
2026-03-31 01:04:09.087312,171,person,0.871,339,243,603,468,pose,10.0
2026-03-31 01:04:09.188108,172,person,0.866,341,243,602,469,pose,9.9
2026-03-31 01:04:09.290049,173,person,0.861,338,247,605,465,pose,10.1
2026-03-31 01:04:09.387754,174,person,0.868,341,248,604,464,pose,10.0
2026-03-31 01:04:09.490723,175,person,0.841,338,249,603,464,pose,9.9
2026-03-31 01:04:09.490767,175,person,0.515,311,3,544,567,pose,9.9
2026-03-31 01:04:09.588109,176,person,0.856,342,251,599,463,pose,10.1
2026-03-31 01:04:09.686840,177,person,0.861,341,253,600,460,pose,10.0
2026-03-31 01:04:09.789527,178,person,0.731,426,254,509,459,pose,9.9
2026-03-31 01:04:09.889878,179,person,0.716,459,255,477,457,pose,10.1
2026-03-31 01:04:09.990237,180,person,0.734,335,255,604,459,pose,10.0
2026-03-31 01:04:10.088900,181,person,0.804,471,257,465,456,pose,10.0
2026-03-31 01:04:10.188346,182,person,0.836,464,260,473,451,pose,9.9
2026-03-31 01:04:10.188390,182,person,0.534,303,0,548,679,pose,9.9
2026-03-31 01:04:10.288361,183,person,0.833,431,269,516,443,pose,10.1
2026-03-31 01:04:10.395008,184,person,0.819,360,298,608,414,pose,10.0
2026-03-31 01:04:10.489246,185,person,0.79,352,314,647,400,pose,10.1
2026-03-31 01:04:10.589824,186,person,0.801,337,327,671,388,pose,9.9
2026-03-31 01:04:10.689618,187,person,0.817,334,330,680,386,pose,10.0
2026-03-31 01:04:10.787368,188,person,0.815,344,330,680,387,pose,10.1
2026-03-31 01:04:10.890366,189,person,0.832,351,330,675,386,pose,9.9
2026-03-31 01:04:10.987502,190,person,0.833,362,331,660,381,pose,10.1
2026-03-31 01:04:11.090495,191,person,0.802,388,334,633,380,pose,9.8
2026-03-31 01:04:11.187955,192,person,0.815,395,336,627,377,pose,10.1
2026-03-31 01:04:11.288222,193,person,0.763,409,338,611,372,pose,10.0
2026-03-31 01:04:11.389166,194,person,0.714,419,343,598,369,pose,10.0
2026-03-31 01:04:11.488986,195,person,0.707,419,344,596,369,pose,10.0
2026-03-31 01:04:11.590121,196,person,0.763,425,343,543,368,pose,9.9
2026-03-31 01:04:11.788141,198,person,0.705,424,331,700,380,pose,9.9
2026-03-31 01:04:11.893212,199,person,0.77,451,313,469,398,pose,10.0
2026-03-31 01:04:11.988796,200,person,0.754,475,303,451,410,pose,10.0
2026-03-31 01:04:12.089657,201,person,0.783,495,288,440,423,pose,10.0
2026-03-31 01:04:12.187695,202,person,0.773,469,283,446,428,pose,10.0
2026-03-31 01:04:12.289750,203,person,0.816,464,276,468,435,pose,10.0
2026-03-31 01:04:12.388158,204,person,0.804,464,258,473,451,pose,10.0
2026-03-31 01:04:12.489153,205,person,0.756,375,226,619,485,pose,10.1
2026-03-31 01:04:12.588626,206,person,0.816,343,192,677,518,pose,9.9
2026-03-31 01:04:12.688654,207,person,0.848,345,158,708,552,pose,10.2
2026-03-31 01:04:12.788017,208,person,0.874,334,125,742,585,pose,9.9
2026-03-31 01:04:12.887225,209,person,0.872,304,105,789,608,pose,10.1
2026-03-31 01:04:12.989696,210,person,0.87,290,85,807,625,pose,9.9
2026-03-31 01:04:13.098503,211,person,0.869,286,51,818,660,pose,10.1
2026-03-31 01:04:13.225596,212,person,0.862,264,11,896,700,pose,7.5
2026-03-31 01:04:13.325757,213,person,0.861,245,3,910,707,pose,10.1
2026-03-31 01:04:13.432238,214,person,0.858,239,0,931,710,pose,10.0
2026-03-31 01:04:13.554140,215,person,0.866,221,2,907,707,pose,7.5
2026-03-31 01:04:13.651989,216,person,0.872,234,1,963,710,pose,10.0
2026-03-31 01:04:13.754177,217,person,0.885,212,0,964,709,pose,10.0
2026-03-31 01:04:13.852986,218,person,0.894,213,0,945,709,pose,10.0
2026-03-31 01:04:13.954571,219,person,0.884,217,0,938,708,pose,10.0
2026-03-31 01:04:14.052418,220,person,0.898,216,0,934,709,pose,10.0
2026-03-31 01:04:14.155974,221,person,0.896,216,0,931,709,pose,9.9
2026-03-31 01:04:14.252753,222,person,0.892,217,0,938,709,pose,10.1
2026-03-31 01:04:14.352488,223,person,0.899,221,0,932,709,pose,10.1
2026-03-31 01:04:14.452325,224,person,0.892,219,0,940,709,pose,9.9
2026-03-31 01:04:14.554896,225,person,0.89,222,0,924,709,pose,10.0
2026-03-31 01:04:14.652155,226,person,0.883,230,0,912,709,pose,10.0
2026-03-31 01:04:14.752220,227,person,0.879,230,0,896,709,pose,10.0
